Model,Accuracy,Precision_macro,Recall_macro,F1_macro,MCC,AUC_ovr_macro
XGBoost,0.9254498714652957,0.9399231557073338,0.9351429853160089,0.9374298905943891,0.9098069056594272,0.995291046540158
Logistic Regression,0.9214102093279471,0.9353831528842956,0.9321485699031606,0.9335383155807854,0.9050454594545089,0.9947761798258953
Random Forest,0.9203084832904884,0.9346537085537744,0.9300097333852949,0.9322097584418216,0.9035910729236014,0.993567124856426
KNN,0.9162688211531399,0.9317625054246926,0.9267383448336604,0.928868141000997,0.8987921738680449,0.9868070624090172
Decision Tree,0.8920308483290489,0.9075129410765322,0.9090279017305105,0.9080614184713196,0.8695693170006366,0.9449962767874374
Naive Bayes (Gaussian),0.7638633859713552,0.7744268089367277,0.7694169316992395,0.7677499871835359,0.7154063217966201,0.9671931925614919
